     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2000,         0,         0,   0.000,pymatching,4ef53587feba9c3207ad1337a57e288aeb8063ee08521f001d69271e019c6bd4,"{""d"":3,""p"":0.0055,""r"":2}",
      1600,         0,         0,   0.000,pymatching,4ef53587feba9c3207ad1337a57e288aeb8063ee08521f001d69271e019c6bd4,"{""d"":3,""p"":0.0055,""r"":2}",
      1600,         1,         0,   0.000,pymatching,4ef53587feba9c3207ad1337a57e288aeb8063ee08521f001d69271e019c6bd4,"{""d"":3,""p"":0.0055,""r"":2}",
      1600,         2,         0,   0.000,pymatching,4ef53587feba9c3207ad1337a57e288aeb8063ee08521f001d69271e019c6bd4,"{""d"":3,""p"":0.0055,""r"":2}",
      2000,         1,         0,   0.047,pymatching,4ef53587feba9c3207ad1337a57e288aeb8063ee08521f001d69271e019c6bd4,"{""d"":3,""p"":0.0055,""r"":2}",
      1024,         1,         0,   0.000,pymatching,4ef53587feba9c3207ad1337a57e288aeb8063ee08521f001d69271e019c6bd4,"{""d"":3,""p"":0.0055,""r"":2}",
       176,         0,         0,   0.000,pymatching,4ef53587feba9c3207ad1337a57e288aeb8063ee08521f001d69271e019c6bd4,"{""d"":3,""p"":0.0055,""r"":2}",
      2000,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
       400,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
      1297,         0,         0,   0.015,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
       223,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
         1,         0,         0,   0.016,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
      1599,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
      1600,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
        80,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
      1297,         0,         0,   0.015,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
       303,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
       301,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
       301,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
        99,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
        99,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
       100,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
       100,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
        80,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
        80,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
        20,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
         8,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
         3,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
         3,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
         2,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
         1,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
         1,         0,         0,   0.000,pymatching,5ddf7374c71f1eba1ae9bbe17af07a440f02171d931251135d182a2af33f5a9b,"{""d"":5,""p"":0.0055,""r"":2}",
