     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.000,pymatching,fed05981a2b75bbbd087cb3bb5e0e210578f844eea2e5ceb52bdcf29da8861e7,"{""d"":3,""p"":0.02,""r"":3}",
      1297,        54,         0,   0.015,pymatching,6b3324f809c47156511f3ef9776e6f4057f402f7eca7d7f1951a6933cdb7af57,"{""d"":3,""p"":0.02,""r"":7}",
      9999,       167,         0,   0.000,pymatching,fed05981a2b75bbbd087cb3bb5e0e210578f844eea2e5ceb52bdcf29da8861e7,"{""d"":3,""p"":0.02,""r"":3}",
      5120,       218,         0,   0.016,pymatching,6b3324f809c47156511f3ef9776e6f4057f402f7eca7d7f1951a6933cdb7af57,"{""d"":3,""p"":0.02,""r"":7}",
      3583,       161,         0,   0.000,pymatching,6b3324f809c47156511f3ef9776e6f4057f402f7eca7d7f1951a6933cdb7af57,"{""d"":3,""p"":0.02,""r"":7}",
      9489,        41,         0,   0.015,pymatching,0d4429130ca5d34552a73abd9e41a917273da09b8a7460184b86c1f4e8f93680,"{""d"":3,""p"":0.02,""r"":1}",
       511,         3,         0,   0.000,pymatching,0d4429130ca5d34552a73abd9e41a917273da09b8a7460184b86c1f4e8f93680,"{""d"":3,""p"":0.02,""r"":1}",
         1,         0,         0,   0.000,pymatching,275d5d885c42e82ede53f607677a9a9a3cdf96440043e221a995a74942190114,"{""d"":3,""p"":0.02,""r"":9}",
      2320,       113,         0,   0.016,pymatching,275d5d885c42e82ede53f607677a9a9a3cdf96440043e221a995a74942190114,"{""d"":3,""p"":0.02,""r"":9}",
       273,        18,         0,   0.016,pymatching,90968edd03893f4fa277842bf2888fcff7b8f0e791983feb6efe4caf09918adb,"{""d"":3,""p"":0.02,""r"":11}",
      4369,       131,         0,   0.016,pymatching,28da94cd1822407f878a1213829c3ce6bc87d43241b139169bbee6035a2db7f1,"{""d"":3,""p"":0.02,""r"":5}",
       273,        23,         0,   0.016,pymatching,99a9ddc35c64f9ee93367a30fb5a3296a068e8791f734ab8e6f6e09a16a7b0ee,"{""d"":3,""p"":0.02,""r"":13}",
